
-------------------- Start --------------------

---------------------------------
Thresh 	 F_score
0.211681 	 0.357895
0.156994 	 0.105263
0.054637 	 0.279070
0.335949 	 0.000000
0.250662 	 1.000000
0.420070 	 1.000000
0.109681 	 0.731707
0.200714 	 0.000000
0.000000 	 0.000000
---------
0.526557 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.238150 	 0.918129
0.314320 	 1.000000
0.257390 	 1.000000
0.053796 	 0.000000
0.218590 	 1.000000
0.430264 	 0.000000
0.173145 	 0.000000
0.202380 	 1.000000
0.046337 	 0.000000
0.185373 	 0.863014
0.358309 	 1.000000
0.425766 	 1.000000
0.627714 	 0.000000
0.107731 	 0.000000
0.355961 	 1.000000
0.128285 	 0.363636
0.368439 	 1.000000
0.165296 	 0.000000
0.331944 	 1.000000
0.282152 	 1.000000
0.277650 	 0.352941
0.086322 	 1.000000
0.115797 	 0.000000
0.158541 	 0.000000
0.190260 	 0.328571
0.336461 	 1.000000
0.192240 	 1.000000
0.084545 	 0.000000
0.260472 	 1.000000
0.403377 	 1.000000
0.228029 	 0.142857
0.256286 	 0.225806
0.461456 	 0.000000
0.193252 	 1.000000
0.160312 	 0.000000
0.156200 	 0.203593
0.200144 	 0.490991
0.288318 	 0.000000
0.189687 	 1.000000
0.242569 	 1.000000
0.267989 	 0.000000
0.046965 	 0.000000
0.150174 	 0.571429
0.211468 	 0.269663
0.214533 	 0.210526
0.085734 	 0.272727
0.341368 	 0.000000
0.254718 	 1.000000
0.426845 	 1.000000
0.126888 	 0.740741
0.203951 	 0.000000
0.000000 	 0.000000
---------
0.508914 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.270237 	 0.900718
0.293822 	 1.000000
0.260773 	 1.000000
0.055996 	 0.000000
0.220307 	 1.000000
0.433679 	 0.000000
0.174584 	 0.000000
0.203986 	 1.000000
0.042286 	 0.000000
0.188144 	 0.856164
0.361153 	 1.000000
0.429145 	 1.000000
0.458285 	 0.000000
0.113341 	 0.000000
0.358786 	 1.000000
0.114909 	 0.363636
0.371363 	 1.000000
0.166582 	 0.000000
0.334579 	 1.000000
0.284391 	 1.000000
0.276269 	 0.290323
0.080775 	 1.000000
0.195871 	 1.000000
0.178922 	 0.000000
0.205011 	 0.294264
0.339131 	 1.000000
0.191129 	 1.000000
0.065192 	 0.000000
0.262540 	 1.000000
0.406579 	 1.000000
0.279493 	 0.082192
0.254874 	 0.229508
0.465119 	 0.000000
0.202077 	 1.000000
0.161726 	 0.000000
0.143147 	 0.215909
0.341010 	 0.294118
0.279259 	 0.000000
0.197159 	 1.000000
0.244494 	 1.000000
0.254876 	 0.000000
0.047338 	 0.000000
0.205078 	 0.425532
0.165825 	 0.305882
0.259660 	 0.300000
0.080790 	 0.250000
0.344077 	 0.000000
0.256745 	 1.000000
0.430233 	 1.000000
0.115651 	 0.756098
0.205570 	 0.000000
0.000000 	 0.000000
---------
0.520869 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.300293 	 0.909521
0.284458 	 1.000000
0.262465 	 1.000000
0.050846 	 0.000000
0.221176 	 1.000000
0.435387 	 0.000000
0.175868 	 0.000000
0.204790 	 1.000000
0.043452 	 0.000000
0.192847 	 0.869863
0.362575 	 1.000000
0.430835 	 1.000000
0.515497 	 0.000000
0.119859 	 0.000000
0.360198 	 1.000000
0.115943 	 0.363636
0.372825 	 1.000000
0.167226 	 0.000000
0.335896 	 1.000000
0.285511 	 1.000000
0.291321 	 0.311111
0.077465 	 1.000000
0.128154 	 1.000000
0.222422 	 0.000000
0.192325 	 0.343249
0.340466 	 1.000000
0.191123 	 1.000000
0.055511 	 0.000000
0.263573 	 1.000000
0.408180 	 1.000000
0.280427 	 0.151899
0.255811 	 0.229508
0.466950 	 0.000000
0.206490 	 1.000000
0.162234 	 0.000000
0.143231 	 0.195122
0.271762 	 0.428212
0.274198 	 0.000000
0.200895 	 1.000000
0.245457 	 1.000000
0.258798 	 0.000000
0.047524 	 0.000000
0.210363 	 0.416667
0.170643 	 0.275862
0.282009 	 0.300000
0.075627 	 0.333333
0.345432 	 0.000000
0.257732 	 1.000000
0.431927 	 1.000000
0.114662 	 0.725000
0.206379 	 0.000000
0.000000 	 0.000000
---------
0.526529 ( 51 )
---------

---------------------------------
Thresh 	 F_score
0.322758 	 0.919580
0.279776 	 1.000000
0.263311 	 1.000000
0.047146 	 0.000000
0.221611 	 1.000000
0.436240 	 0.000000
0.176419 	 0.000000
0.205191 	 1.000000
0.043054 	 0.000000
0.210714 	 0.854237
0.363286 	 1.000000
0.431680 	 1.000000
0.585361 	 0.000000
0.098704 	 0.000000
0.360904 	 1.000000
0.109562 	 0.363636
0.373556 	 1.000000
0.167681 	 0.000000
0.336555 	 1.000000
0.286071 	 1.000000
0.294963 	 0.253968
0.154075 	 1.000000
